,question,answer
94,"Am I eligible for the CERB even if my job is still there but I don’t feel comfortable going to work as a result of risk associated with COVID-19? For example, what if I have someone at home who has a compromised immune system and I cannot risk infecting them.","Can you make the question simpler? I’m still learning.
Can you make the question simpler? I’m still learning.
Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
95,Am I eligible to apply for the CERB if I volunteer to be temporarily laid off by my employer to help them manage the pressures on their business?,"Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
96,If I lost my job prior to March 15th for reasons related to COVID-19 will I be able to receive the CERB?,"Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
97,Am I eligible to apply for the CERB if I have not declared that I earned any money in the last year?,"Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
98,Can employers send their employees off on furloughs to help cope with the decline in available work?,"Bot sentBased on the information that I’ve interpreted, are any of these questions useful?
How do I get my Record of Employment?I got an error messageCan I claim travel to work?"
99,"If an employee has stopped working but is still receiving benefits from their employer (for example, medical) are they eligible for the Canada Emergency Response Benefit?","Can you make the question simpler? I’m still learning.
Can you make the question simpler? I’m still learning.
Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
100,Does being in receipt of severance impact a person’s eligibility for the Canada Emergency Response Benefit?,"Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
101,"What counts towards the $1,000 in income I can earn?","Bot sentYou said: What counts towards the $1,000 in income I can earn?. Sorry, I don’t understand your question. Can you please ask it in a different way?
"
102,"Does the $1,000 limit on income from employment and/or self-employment for each 4-week benefit period apply to when income is earned or when income is received?","Can you make the question simpler? I’m still learning.
Can you make the question simpler? I’m still learning.
Bot sentEmployment Insurance
Benefits received:
Your Employment Insurance (EI) benefits you received as income are shown on a T4E slip and reported on line 11900. For more information, see Line 11900 – Employment insurance and other benefits.
Premiums Paid:
The employment insurance premiums you pay are based on your insurable earnings. Your insurable earnings are shown in box 24 of your T4 Slip and reported on Line 31200. For more information, see Line 31200 - Employment Insurance premiums through employment.
If you are self-employed see Line 31217 - Employment Insurance premiums on self-employment.
If you would like to apply for Employment Insurance benefits including maternity and parental benefits or submit your required EI report, please visit Service Canada for more information.
"
103,"What income types count towards the $5,000 in employment and/or self-employment income?","Bot sentBased on the information that I’ve interpreted, are any of these questions useful?
How do I claim employment insurance benefits or premiums?How do I get my Record of Employment?How do you split your pension income?"
104,"Does the minimum income of $5,000 have to be earned in Canada?","Bot sentBased on the information that I’ve interpreted, are any of these questions useful?
J'ai besoin d'une trousse d'impôt sur le revenuComment puis-je demander des prestations du Régime de pensions du Canada ?Qu'est-ce que l'ARC?"
105,If I am in receipt of dividends am I eligible for the CERB?,"Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
106,Do artists’ royalties count as employment or self-employment income with respect to the CERB?,"Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
107,How much could I receive through the CERB?,"Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
108,When and how will I receive my CERB payment? Is there a waiting period?,"Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
109,"If I would be entitled to more than the $500 per week under EI, will I get the higher amount?","Bot sentBased on the information that I’ve interpreted, are any of these questions useful?
How do I get the Climate action incentive payment?What do I do if I overpay an RRSP?How do I get my Record of Employment?"
110,"If I would have been entitled to less than the $500 per week under EI, will I get the $500?","Bot sentBased on the information that I’ve interpreted, are any of these questions useful?
How do I get the Climate action incentive payment?CCB young child supplement (CCBYCS)How do I claim employment insurance benefits or premiums?"
111,What happens if I get a CERB payment I am not entitled to because I applied twice - once to the Canada Revenue Agency and once to Service Canada?,"Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
112,"Once I receive my first payment, can I assume I will receive my next payment 4 weeks later?","Bot sentThe Climate action incentive payment (CAIP) is a tax-free amount paid to help individuals and families offset the cost of the federal pollution pricing.
The CAIP will now be paid as a quarterly benefit. If you are entitled, you will automatically receive your CAIP four times a year, starting in July 2022. This first payment will include a retroactive amount for April 2022. Prior to 2021, the Climate action incentive was a refundable tax credit claimed annually on personal income tax returns.
You don’t need to apply to receive the payment for the CAIP. The Canada Revenue Agency (CRA) will determine your eligibility when you file your income tax and benefit return and will send you payments if you’re entitled to them. If you get your tax refund by direct deposit, you will also get your CAIP by direct deposit.
For information on eligibility, the CAIP supplement, when you will get your payments and more, see Climate action incentive payment.
"
113,If I am planning on going on maternity/parental leave shortly am I eligible for the Canada Emergency Response Benefit? Why was I put on EI regular benefits rather than the CERB? Will this impact my eligibility for Employment Insurance maternity and/or parental benefits?,"Can you make the question simpler? I’m still learning.
Can you make the question simpler? I’m still learning.
Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
114,"If I am on maternity/parental benefits, am I eligible to apply for the CERB?","Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
115,Am I eligible for the CERB if I am a student who was working part-time and lost my job for reasons related to COVID-19?,"Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
116,I lost my job but I am receiving bursaries and/or scholarships. Can I get the CERB?,"Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
117,"Does the money I receive through bursaries and/or scholarships count toward the requirement for $5,000 in income?","Bot sentBased on the information that I’ve interpreted, are any of these questions useful?
When will I get my refund?Why do I need to file?I receive tips?"
118,"Am I eligible for the CERB if I am in an apprenticeship program, receiving funding through the Employment Insurance Program, and lose my job as a result of COVID-19?","Can you make the question simpler? I’m still learning.
Can you make the question simpler? I’m still learning.
Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
119,Are people who lost their job but are receiving a pension eligible for the CERB?,"Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
120,"Does pension income count towards the $5,000 income requirement for the CERB?","Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
121,Can I get the CERB if I am receiving disability benefits?,"Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
122,"Does the money I receive through my disability benefits count toward the requirement for $5,000 in income?","Bot sentBased on the information that I’ve interpreted, are any of these questions useful?
How do I claim employment insurance benefits or premiums?How do I claim Canada Pension Plan benefits?Canada child benefits (CCB)"
123,I am a part-time worker who has seen a reduction in my hours as a result of COVID-19. Am I eligible for the CERB?,"Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
124,Self-employed and Independent Workers,"Bot sentBased on the information that I’ve interpreted, are any of these questions useful?
how much do I owe cra if I work for myself?How to file for an individual or self-employedBalance due date for an Individual or Self-employed"
125,Are self-employed small business owners eligible for the CERB?,"Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
126,"Can someone qualify for CERB if they still have a small amount of income coming into their business account as a sole proprietor to pay some of their business expenses (commercial rent, utility costs, etc.) as long as they are not paying themselves any income from the business?","Can you make the question simpler? I’m still learning.
Can you make the question simpler? I’m still learning.
Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
127,Are Self-Employed Fishers eligible for the CERB?,"Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
128,Do I need to complete my bi-weekly EI reports?,"Bot sentEmployment Insurance
Benefits received:
Your Employment Insurance (EI) benefits you received as income are shown on a T4E slip and reported on line 11900. For more information, see Line 11900 – Employment insurance and other benefits.
Premiums Paid:
The employment insurance premiums you pay are based on your insurable earnings. Your insurable earnings are shown in box 24 of your T4 Slip and reported on Line 31200. For more information, see Line 31200 - Employment Insurance premiums through employment.
If you are self-employed see Line 31217 - Employment Insurance premiums on self-employment.
If you would like to apply for Employment Insurance benefits including maternity and parental benefits or submit your required EI report, please visit Service Canada for more information.
"
129,Where can I find my Access Code to allow me to apply for EI online through Service Canada?,"Bot sentThe NETFILE service allows you to file your tax return using certified tax software.
Prior to filing your tax return electronically, you will be asked to enter an Access code. This code does not apply to you if you are filing your tax return for the first time.
Your unique Access code can be found on your Notice of Assessment (NOA) for a previous tax year. This eight-character Access code is made up of numbers and letters and is located on the right side of your NOA. The placement and labelling of the Access code differs slightly depending on the version of the NOA you are looking at, but will always be on the right side of the NOA.
On the paper version of your NOA as well as the PDF version in My Account, the Access code is not labelled, but can be found directly underneath the Date issued at the top right of the page. If you are viewing your NOA in My Account or using the Express NOA service in certified tax software, the Access code is found directly under the Notice details box at the top right of the page.
You will have to enter your Access code after your name, date of birth, and social insurance number. While this Access code is not mandatory, if you do not enter your Access code, you will not be able to use any information from your 2022 tax return when confirming your identity with the Canada Revenue Agency. You will have to rely on other information for authentication purposes.
"
130,Do I get a choice between collecting the EI CERB and collecting EI regular Benefits?,"Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
131,"I am a seasonal worker who received EI regular benefits over the off-season and I have just exhausted my benefit entitlement, but I am unable to find work due to COVID-19—am I eligible for the CERB?","Can you make the question simpler? I’m still learning.
Can you make the question simpler? I’m still learning.
Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
132,"I was laid-off from my work prior to March 15, 2020 for reasons not related to COVID-19 and I have exhausted my EI regular benefits, but I am unable to find work due to COVID-19—am I eligible for the CERB?","Can you make the question simpler? I’m still learning.
Can you make the question simpler? I’m still learning.
Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
133,Are individuals who are part of work-sharing agreements eligible for the CERB?,"Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
134,Are individuals who are working while on claim eligible for the CERB if they lose their jobs for reasons related to COVID-19?,"Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
135,"I am a fisher who received Employment Insurance fishing benefits over the off-season and I have just exhausted my benefit entitlement, but I am unable to find work due to COVID-19—am I eligible for the Canada Emergency Response Benefit?","Can you make the question simpler? I’m still learning.
Can you make the question simpler? I’m still learning.
Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
136,Can employers use a Supplemental Unemployment Benefit (SUB) plan to increase their employee’s weekly earnings while they are unemployed and collecting the Canada Emergency Response Benefit?,"Can you make the question simpler? I’m still learning.
Can you make the question simpler? I’m still learning.
Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
137,"Regarding COVID-19 and tax-filing,How will COVID-19 benefit payments affect your 2022 taxes?","Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
138,"Regarding COVID-19 and tax-filing,Why did you get a T4A or an RL-1 slip for COVID-19 benefits?","Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
139,"Regarding COVID-19 and tax-filing,Did you receive COVID-19 benefit payments but do not have a T4A slip? What should you do?","Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
140,"Regarding COVID-19 and tax-filing,What should you do if your T4A or RL-1 slip has incorrect information?","Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
141,"Regarding COVID-19 and tax-filing,What happens if you made a payment or payments toward your COVID-19 benefit overpayment? Will that appear on your T4A slip?","Can you make the question simpler? I’m still learning.
Can you make the question simpler? I’m still learning.
Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
142,"Regarding COVID-19 and tax-filing,What if you would like to make a request to deduct federal COVID-19 benefit repayments in a prior year (Form T1B)?","Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
143,"Regarding COVID-19 and tax-filing,What should you do if there are issues with your RL-1 slip?","Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
144,"Regarding COVID-19 and tax-filing,What amount of COVID-19 benefits do you need to enter on your income tax and benefit return?","Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
145,"Regarding COVID-19 and tax-filing,You received a letter or a T4A slip stating that you received a COVID-19 benefit payment but you never applied. What do you do?","Can you make the question simpler? I’m still learning.
Can you make the question simpler? I’m still learning.
Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
146,"Regarding COVID-19 and tax-filing,1Should you file your 2022 income tax and benefit return if you are waiting for the CRA to resolve an issue with the T4A slip you received?","Can you make the question simpler? I’m still learning.
Can you make the question simpler? I’m still learning.
Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
147,"Regarding COVID-19 and tax-filing,Your income is exempt under section 87 of the Indian Act, but 10% tax was deducted from your Canada Recovery Benefit (CRB), Canada Recovery Caregiving Benefit (CRCB), or Canada Recovery Sickness Benefit (CRSB) payment. How can you get a refund of the withheld amounts you are entitled to?","Can you make the question simpler? I’m still learning.
Can you make the question simpler? I’m still learning.
Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
148,"Regarding COVID-19 and tax-filing,If you are self-employed and received COVID-19 subsidies for your business, what do you need to know?","Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
149,"Regarding COVID-19 and tax-filing,How do you report a subsidy on your return","Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
150,"Regarding COVID-19 and tax-filing,Where can you get tax help?","Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
151,"Regarding COVID-19 and tax-filing,Your employer went out of business and you don’t have your T4 slip. Where do you get it and other slips?","Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
152,"Before filing your income tax and benefit return,How do you change your address with the CRA?","Bot sentYou can change your personal or business address online, by phone or by mail.
To change your personal address, see Update your information: change your address.
To change the physical or mailing address of your business, see Change of business address.
"
153,"Before filing your income tax and benefit return,How do you give someone permission to access your tax information?","Bot sentThe late-filing penalty is applied if you file your tax return after the due date and have a balance owing. The late-filing penalty is 5% of your current tax year balance owing, plus an additional 1% of your balance owing for each full month you file after the due date (up to a maximum of 12 months).
We start charging daily interest on the penalties, as well as any unpaid amounts, starting the day after your filing due date.
"
154,"Before filing your income tax and benefit return,How can you get free tax help if you’re the owner of a small business or self-employed?","Bot sentHere are some reasons why:

you want to get the benefits and credits you’re eligible for
you owe tax
you pay employment insurance (EI) premiums on your self-employment earnings
you are self-employed and pay Canada Pension Plan (CPP) premiums
you and your spouse or common-law partner want to split pension income
you have to repay RRSPs for the Home Buyer’s Plan or Life Long Learning Plan
you have to repay any benefits you received
we sent you a Request to File notice
we sent you a Demand to File notice

See Your tax obligations.
"
155,"Before filing your income tax and benefit return,Is direct deposit available?","Bot sentThe late-filing penalty is applied if you file your tax return after the due date and have a balance owing. The late-filing penalty is 5% of your current tax year balance owing, plus an additional 1% of your balance owing for each full month you file after the due date (up to a maximum of 12 months).
We start charging daily interest on the penalties, as well as any unpaid amounts, starting the day after your filing due date.
"
156,"Before filing your income tax and benefit return,How do you sign up for direct deposit?","Bot sentThe late-filing penalty is applied if you file your tax return after the due date and have a balance owing. The late-filing penalty is 5% of your current tax year balance owing, plus an additional 1% of your balance owing for each full month you file after the due date (up to a maximum of 12 months).
We start charging daily interest on the penalties, as well as any unpaid amounts, starting the day after your filing due date.
"
157,"Before filing your income tax and benefit return,Where can you get the 2022 income tax package?","Bot sentFor information on forms, guides, tax packages, and other Canada Revenue Agency (CRA) publications, see Forms and publications.
CRA Forms
All of CRA’s forms are online and listed by number.
Income Tax and Benefit Guide
Many of the line numbers on the Income Tax and Benefit Return (T1) have changed.
See the Income Tax and Benefit Guide.
Income tax package
You can download your tax package (all forms and a guide) from the Income tax package web page or ask us to mail you the package. You can also file online using certified tax software that is available online or for sale in retail stores.
TD1 Forms
We have different versions of the TD1 form depending on your province.
See TD1 forms and select the form for your area.
"
158,"Before filing your income tax and benefit return,What services are available that can help me file?","Bot sentThe late-filing penalty is applied if you file your tax return after the due date and have a balance owing. The late-filing penalty is 5% of your current tax year balance owing, plus an additional 1% of your balance owing for each full month you file after the due date (up to a maximum of 12 months).
We start charging daily interest on the penalties, as well as any unpaid amounts, starting the day after your filing due date.
"
159,"Before filing your income tax and benefit return,What types of benefit payments, deductions, and tax credits are available by filing a return?","Bot sentThe late-filing penalty is applied if you file your tax return after the due date and have a balance owing. The late-filing penalty is 5% of your current tax year balance owing, plus an additional 1% of your balance owing for each full month you file after the due date (up to a maximum of 12 months).
We start charging daily interest on the penalties, as well as any unpaid amounts, starting the day after your filing due date.
"
160,"Before filing your income tax and benefit return,Do you have to report the sale of your principal residence?","Bot sentTo report the sale of your home (principal residence), complete Schedule 3, Capital gains (or losses) and attach it to your tax return. You’ll also need to complete Form T2091 (IND), Designation of a Property as a Principal Residence by an Individual.
If this home was not your principal residence for every year that you owned it, you may have to report capital gains for the property.
See Reporting the sale of your principal residence for individuals.
"
161,"Before filing your income tax and benefit return,Do you have to file an income tax and benefit return?","Bot sentHere are some reasons why:

you want to get the benefits and credits you’re eligible for
you owe tax
you pay employment insurance (EI) premiums on your self-employment earnings
you are self-employed and pay Canada Pension Plan (CPP) premiums
you and your spouse or common-law partner want to split pension income
you have to repay RRSPs for the Home Buyer’s Plan or Life Long Learning Plan
you have to repay any benefits you received
we sent you a Request to File notice
we sent you a Demand to File notice

See Your tax obligations.
"
162,"Before filing your income tax and benefit return,What is the filing and payment deadline for your 2022 income tax and benefit return?","Bot sentThe late-filing penalty is applied if you file your tax return after the due date and have a balance owing. The late-filing penalty is 5% of your current tax year balance owing, plus an additional 1% of your balance owing for each full month you file after the due date (up to a maximum of 12 months).
We start charging daily interest on the penalties, as well as any unpaid amounts, starting the day after your filing due date.
"
163,"Before filing your income tax and benefit return,What are the filing and payment deadlines for your 2022 income tax and benefit return if you are self-employed?","Can you make the question simpler? I’m still learning.
Can you make the question simpler? I’m still learning.
Bot sentThe late-filing penalty is applied if you file your tax return after the due date and have a balance owing. The late-filing penalty is 5% of your current tax year balance owing, plus an additional 1% of your balance owing for each full month you file after the due date (up to a maximum of 12 months).
We start charging daily interest on the penalties, as well as any unpaid amounts, starting the day after your filing due date.
"
164,"Before filing your income tax and benefit return,How can you file your return?","Bot sentThe late-filing penalty is applied if you file your tax return after the due date and have a balance owing. The late-filing penalty is 5% of your current tax year balance owing, plus an additional 1% of your balance owing for each full month you file after the due date (up to a maximum of 12 months).
We start charging daily interest on the penalties, as well as any unpaid amounts, starting the day after your filing due date.
"
165,"Before filing your income tax and benefit return,Can you file your return online if you have never filed a return before?","Bot sentThe late-filing penalty is applied if you file your tax return after the due date and have a balance owing. The late-filing penalty is 5% of your current tax year balance owing, plus an additional 1% of your balance owing for each full month you file after the due date (up to a maximum of 12 months).
We start charging daily interest on the penalties, as well as any unpaid amounts, starting the day after your filing due date.
"
166,"Before filing your income tax and benefit return,I have not filed my taxes for previous years, how can I file my tax returns?","Bot sentThe late-filing penalty is applied if you file your tax return after the due date and have a balance owing. The late-filing penalty is 5% of your current tax year balance owing, plus an additional 1% of your balance owing for each full month you file after the due date (up to a maximum of 12 months).
We start charging daily interest on the penalties, as well as any unpaid amounts, starting the day after your filing due date.
"
167,"Before filing your income tax and benefit return,You are not living in Canada. What is the best way to send your income tax and benefit return?","Bot sentWho should file a tax return
Find out if you should file a tax return and what your tax obligations are if you live in or leave Canada temporarily or permanently.
Select one of the following options for more information.
You live in Canada permanentlyYou leave Canada temporarily or permanentlyYou live in Canada temporarily"
168,"Before filing your income tax and benefit return,Do you need to file an Underused Housing Tax return (UHT)?","Bot sentThe one-time top-up to the Canada Housing Benefit aims to help low-income renters with the cost of renting. You may be eligible for a tax-free one-time payment of $500 if your income and the amount that you pay on rent qualify.
Applications are open until Friday, March 31, 2023.
For more information, see One-time top-up to the Canadian Housing Benefit.
Who can apply Get ready to apply How to apply When to expect your paymentImpact on your other benefitsIf your application is selected for review"
169,"Before filing your income tax and benefit return,Is your information safe online?","Bot sentThe late-filing penalty is applied if you file your tax return after the due date and have a balance owing. The late-filing penalty is 5% of your current tax year balance owing, plus an additional 1% of your balance owing for each full month you file after the due date (up to a maximum of 12 months).
We start charging daily interest on the penalties, as well as any unpaid amounts, starting the day after your filing due date.
"
170,"Before filing your income tax and benefit return,If you have questions about your taxes or benefits, where can you go?","Bot sentThe late-filing penalty is applied if you file your tax return after the due date and have a balance owing. The late-filing penalty is 5% of your current tax year balance owing, plus an additional 1% of your balance owing for each full month you file after the due date (up to a maximum of 12 months).
We start charging daily interest on the penalties, as well as any unpaid amounts, starting the day after your filing due date.
"
171,"Before filing your income tax and benefit return,What are some of the common mistakes people make on their income tax and benefit return?","Bot sentHere are some reasons why:

you want to get the benefits and credits you’re eligible for
you owe tax
you pay employment insurance (EI) premiums on your self-employment earnings
you are self-employed and pay Canada Pension Plan (CPP) premiums
you and your spouse or common-law partner want to split pension income
you have to repay RRSPs for the Home Buyer’s Plan or Life Long Learning Plan
you have to repay any benefits you received
we sent you a Request to File notice
we sent you a Demand to File notice

See Your tax obligations.
"
172,"Before filing your income tax and benefit return,Is the Voluntary Disclosures Program available for taxpayers to fix errors or omissions in their tax filings, including the T1135?","Can you make the question simpler? I’m still learning.
Can you make the question simpler? I’m still learning.
Bot sentThe late-filing penalty is applied if you file your tax return after the due date and have a balance owing. The late-filing penalty is 5% of your current tax year balance owing, plus an additional 1% of your balance owing for each full month you file after the due date (up to a maximum of 12 months).
We start charging daily interest on the penalties, as well as any unpaid amounts, starting the day after your filing due date.
"
173,"Before filing your income tax and benefit return,What is a non-refundable tax credit?","Bot sentThe late-filing penalty is applied if you file your tax return after the due date and have a balance owing. The late-filing penalty is 5% of your current tax year balance owing, plus an additional 1% of your balance owing for each full month you file after the due date (up to a maximum of 12 months).
We start charging daily interest on the penalties, as well as any unpaid amounts, starting the day after your filing due date.
"
